Training epoch 0
[0/500][0/1383]	LossTot: 82561776.0000	LossRec: 82561776.0000
[0/500][10/1383]	LossTot: 25486256.0000	LossRec: 25486256.0000
[0/500][20/1383]	LossTot: 15116845.0000	LossRec: 15116845.0000
[0/500][30/1383]	LossTot: 14167757.0000	LossRec: 14167757.0000
[0/500][40/1383]	LossTot: 32520642.0000	LossRec: 32520642.0000
[0/500][50/1383]	LossTot: 15220576.0000	LossRec: 15220576.0000
[0/500][60/1383]	LossTot: 49019544.0000	LossRec: 49019544.0000
[0/500][70/1383]	LossTot: 11017871.0000	LossRec: 11017871.0000
[0/500][80/1383]	LossTot: 10226746.0000	LossRec: 10226746.0000
[0/500][90/1383]	LossTot: 10311045.0000	LossRec: 10311045.0000
[0/500][100/1383]	LossTot: 9033622.0000	LossRec: 9033622.0000
[0/500][110/1383]	LossTot: 10349394.0000	LossRec: 10349394.0000
[0/500][120/1383]	LossTot: 5403795.5000	LossRec: 5403795.5000
[0/500][130/1383]	LossTot: 3603629.0000	LossRec: 3603629.0000
[0/500][140/1383]	LossTot: 5681255.5000	LossRec: 5681255.5000
[0/500][150/1383]	LossTot: 8383055.5000	LossRec: 8383055.5000
[0/500][160/1383]	LossTot: 6888581.5000	LossRec: 6888581.5000
[0/500][170/1383]	LossTot: 12136392.0000	LossRec: 12136392.0000
[0/500][180/1383]	LossTot: 9758486.0000	LossRec: 9758486.0000
[0/500][190/1383]	LossTot: 5516382.0000	LossRec: 5516382.0000
[0/500][200/1383]	LossTot: 23104126.0000	LossRec: 23104126.0000
[0/500][210/1383]	LossTot: 13460893.0000	LossRec: 13460893.0000
[0/500][220/1383]	LossTot: 8421415.0000	LossRec: 8421415.0000
[0/500][230/1383]	LossTot: 7855554.0000	LossRec: 7855554.0000
[0/500][240/1383]	LossTot: 4282320.5000	LossRec: 4282320.5000
[0/500][250/1383]	LossTot: 2906478.5000	LossRec: 2906478.5000
[0/500][260/1383]	LossTot: 4486994.0000	LossRec: 4486994.0000
